year,inflation,exchange_rate,broad_money,external_debt_gni,debt_service_exports
1980,13.8581814562484,7.420187499,29.931403081751,48.0846743344258,21.0285042554811
1981,11.6030534351142,9.04749833258333,29.4702012383901,48.617749779006,26.9657704290968
1982,20.6667146662827,10.9223249994167,30.4204686837168,54.5202586895828,30.4825101956896
1983,11.3977827368523,13.3115166659167,28.17588909466,62.6776770710645,33.7741974314409
1984,10.284098213138,14.4138749994167,28.3420922294958,58.6460080249907,34.7957612480719
1985,13.0065664218827,16.4321166665,26.6818501045515,70.5628300352915,38.6658831324043
1986,2.53427598892888,16.2257416665,30.3880803880804,65.7700077293464,35.6066125489206
1987,8.63767318980084,16.4544916666667,30.2439541369882,75.2014289517671,39.7669428979715
1988,12.2649630481582,17.7471,28.9010706363164,72.3341012604124,38.9914422467964
1989,13.7893172763883,20.5724666666667,28.3989058948699,73.2584771301599,36.6398607879798
1990,17.78181442992,22.9147666666667,29.5770158681093,85.9692823704326,35.4124283630656
1991,20.0844955754632,27.5078666666667,30.9819286132647,95.8287706134185,32.6135499035496
1992,27.3323644475784,32.2168333333333,36.5177963970306,87.8233129467514,31.1389325784184
1993,45.9788813036218,58.0013333333333,37.0652321479991,131.899672456245,17.0594506222193
1994,28.8143894306731,56.050575,38.0160091374846,104.989738995445,20.5640053250764
1995,1.55432816055009,51.4298333333333,42.2322687761872,83.7618607478318,25.2639536243036
1996,8.86408741577522,57.1148666666667,35.7916911095672,57.6458704752809,22.389625941754
1997,11.3618450505783,58.7318416666667,38.4226532591297,49.9477374885962,15.5626688001832
1998,6.72243650753928,60.3667,35.8071838047635,48.8621957249724,14.8526034647986
1999,5.74200109520484,70.3262166666667,35.770797830914,51.2837287259863,15.8253913979619
2000,9.98002515350979,76.1755416666667,35.1647273518432,48.8816816711472,21.0196812552366
2001,5.73859814341467,78.563195,35.240744132139,42.8030792314832,15.8770724297325
2002,1.96130821739162,78.7491416666667,38.1589103711513,46.7971661071858,16.3518460197548
2003,9.81569062979654,75.9355694444445,39.0231642223237,45.5616989858586,15.8395942005604
2004,11.6240355442426,79.1738760642135,39.3270274406413,43.3540299808694,8.28271114274799
2005,10.3127783574683,75.5541094514311,38.9067146493246,34.7059410831863,9.98729954136341
2006,14.4537342081708,72.1008350178622,34.601568789648,26.0902560577936,7.13640902609938
2007,9.75888023027529,67.3176381242857,36.0648196834475,23.8155904871498,6.33193280296341
2008,26.2398166445063,69.175319816226,36.1054991412913,21.4473704486947,4.88681340498547
2009,9.23412592394652,77.352012297579,31.8735611625184,23.2191740274624,5.14297262607261
2010,3.96138889115385,79.2331517045454,35.5104303989891,22.2953111640431,4.40619610700289
2011,14.0224913014704,88.8107699710456,36.5694357157819,23.9314455090232,4.31690093770715
2012,9.37777003547598,84.5296017573529,36.5265195457312,23.5760157767792,4.6495039960247
2013,5.71749357037733,86.1228788982654,37.7933919281896,25.277644789086,4.73075851407227
2014,6.87815499275949,87.9221638089727,42.3012569025283,27.916456980179,11.362004823099
2015,6.58215429284779,98.1784533265271,42.8193857794093,31.3058278228131,8.33004713955533
2016,6.29724953814625,101.504369498594,40.3276116242301,28.5315668521598,11.1736382993382
2017,8.00564967709945,103.410004519014,39.351989294104,33.4901470475528,14.5974443871521
2018,4.6898064677633,101.301574049018,39.3598323408541,34.6140434138868,23.6995062707777
2019,5.23963795764792,101.99129838935,38.0704837589513,35.4042862038635,38.427302443419
2020,5.40516207933392,106.450780158517,41.2025809064046,38.0454096339675,24.2889288609468
2021,6.10793603659176,109.637746592367,38.9887824596899,38.1042168095825,16.7806362225923
2022,7.65986268272224,117.865989201682,37.3799304186568,36.8769031537885,18.1305777110906
2023,7.67139634029402,139.846383759617,40.2067953496579,40.4232521954815,21.1131036239564
2024,4.48978854243448,134.822483279332,37.6316622952759,34.992669732423,27.2238636965006
